UsageDate,ProjectName,ProjectID,ProjectNumber,InvoiceCost,InvoiceCostAtListAbs,CostAtList,UsageCost,NegotiatedSavings,SavingsPrograms,OtherSavings,SubTotal
2025-10-31,bambulab,bambulab,322168702712,,,,2442.588641,-48.617605,-685.508503,-90.495545,1617.966988
2025-10-31,68chat-prod,chat-prod-404613,731808937699,,,,3163.692114,0,-312.791908,-350.161236,2500.73897
2025-10-31,ffalcon-HW-01,ffalcon-hw-01,643550418219,,,,2525.804945,-235.843195,-546.251739,-101.211402,1642.498609
2025-10-31,kade,kade-poc,499036589398,,,,3.457826,0,0,-0.539021,2.918805
2025-10-31,lagofast-gcp,lagofast-gcp-429609,369988410061,,,,112.933093,0,0,-17.291116,95.641977
2025-10-31,sw-pro-01,sw-pro-01,661100906716,,,,6141.809531,-687.008373,-597.526584,-263.615481,4593.659093
2025-10-31,tools-orion,tools-orion,131225299543,,,,1741.436197,-185.697726,0,-1555.738454,0.000017
2025-10-31,US-INST-02,us-inst-02,504675810214,,,,48.720693,-7.510591,-1.38003,-2.976482,36.85359
2025-10-30,bambulab,bambulab,322168702712,,,,3079.262137,-88.234488,-720,-119.22478,2151.802869
2025-10-30,68chat-prod,chat-prod-404613,731808937699,,,,3136.419955,0,-371.818208,-339.802281,2424.799466
2025-10-30,ffalcon-HW-01,ffalcon-hw-01,643550418219,,,,2565.707083,-239.375557,-649.442529,-97.800837,1579.08816
2025-10-30,kade,kade-poc,499036589398,,,,3.712296,0,0,-0.572237,3.140059
2025-10-30,lagofast-gcp,lagofast-gcp-429609,369988410061,,,,193.114013,0,0,-26.912005,166.202008
2025-10-30,sw-pro-01,sw-pro-01,661100906716,,,,6122.275269,-680.571486,-712.204994,-259.00838,4470.490409
2025-10-30,tools-orion,tools-orion,131225299543,,,,1718.980945,-202.201738,0,-182.013972,1334.765235
2025-10-30,US-INST-02,us-inst-02,504675810214,,,,51.037476,-7.84535,-1.664587,-3.06136,38.466179
2025-10-29,bambulab,bambulab,322168702712,,,,3148.254101,-93.575497,-720,-122.49818,2212.180424
2025-10-29,68chat-prod,chat-prod-404613,731808937699,,,,3113.736423,0,-372.292555,-337.028803,2404.415065
2025-10-29,ffalcon-HW-01,ffalcon-hw-01,643550418219,,,,2570.31257,-239.837467,-649.39674,-97.892349,1583.186014
2025-10-29,kade,kade-poc,499036589398,,,,4.070526,0,0,-0.60732,3.463206
2025-10-29,lagofast-gcp,lagofast-gcp-429609,369988410061,,,,194.396243,0,0,-27.066662,167.329581
2025-10-29,sw-pro-01,sw-pro-01,661100906716,,,,6719.502351,-759.27212,-709.430837,-284.2822,4966.517194
2025-10-29,tools-orion,tools-orion,131225299543,,,,2785.862116,-333.561881,0,-294.276126,2158.024109
2025-10-29,US-INST-02,us-inst-02,504675810214,,,,51.049839,-7.846754,-1.67729,-3.061285,38.46451
2025-10-28,bambulab,bambulab,322168702712,,,,3758.578698,-141.08104,-720,-150.67945,2746.818208
2025-10-28,68chat-prod,chat-prod-404613,731808937699,,,,3110.195996,0,-372.171445,-336.602885,2401.421666
2025-10-28,ffalcon-HW-01,ffalcon-hw-01,643550418219,,,,2625.799212,-245.372387,-649.73197,-100.832238,1629.862617
2025-10-28,kade,kade-poc,499036589398,,,,3.711456,0,0,-0.558911,3.152545
2025-10-28,lagofast-gcp,lagofast-gcp-429609,369988410061,,,,207.540604,0,0,-28.643207,178.897397
2025-10-28,sw-pro-01,sw-pro-01,661100906716,,,,6543.977297,-737.528837,-709.534801,-276.445636,4820.468023
2025-10-28,tools-orion,tools-orion,131225299543,,,,3380.209309,-410.758831,0,-356.334425,2613.116053
2025-10-28,US-INST-02,us-inst-02,504675810214,,,,50.998867,-7.843194,-1.614871,-3.062036,38.478766
2025-10-27,bambulab,bambulab,322168702712,,,,3625.075476,-130.563411,-720,-144.187511,2630.324554
2025-10-27,68chat-prod,chat-prod-404613,731808937699,,,,3117.462494,0,-371.699779,-337.57118,2408.191535
2025-10-27,ffalcon-HW-01,ffalcon-hw-01,643550418219,,,,2563.688158,-239.179524,-649.329916,-97.928195,1577.250523
2025-10-27,kade,kade-poc,499036589398,,,,3.709065,0,0,-0.553321,3.155744
2025-10-27,lagofast-gcp,lagofast-gcp-429609,369988410061,,,,206.62708,0,0,-28.533651,178.093429
2025-10-27,sw-pro-01,sw-pro-01,661100906716,,,,6417.173235,-58.456819,-783.987013,-5182.992539,391.736864
2025-10-27,tools-orion,tools-orion,131225299543,,,,4171.707384,-510.830578,0,-439.3055,3221.571306
2025-10-27,US-INST-02,us-inst-02,504675810214,,,,51.052613,-7.847262,-1.66811,-3.06183,38.475411
2025-10-26,bambulab,bambulab,322168702712,,,,2556.331244,-49.152098,-720,-94.058797,1693.120349
2025-10-26,68chat-prod,chat-prod-404613,731808937699,,,,3101.183044,0,-371.699837,-335.59071,2393.892497
2025-10-26,ffalcon-HW-01,ffalcon-hw-01,643550418219,,,,2638.710417,-246.667196,-649.641144,-101.49197,1640.910107
2025-10-26,kade,kade-poc,499036589398,,,,3.576176,0,0,-0.547957,3.028219
2025-10-26,lagofast-gcp,lagofast-gcp-429609,369988410061,,,,227.866393,0,0,-31.082247,196.784146
2025-10-26,sw-pro-01,sw-pro-01,661100906716,,,,6701.241889,-0.000054,-792.005568,-5909.236305,-0.000038
2025-10-26,tools-orion,tools-orion,131225299543,,,,3339.288926,-407.544373,0,-351.809852,2579.934701
2025-10-26,US-INST-02,us-inst-02,504675810214,,,,51.032862,-7.846451,-1.621488,-3.06325,38.501673
2025-10-25,bambulab,bambulab,322168702712,,,,2535.32651,-47.493717,-720,-93.096066,1674.736727
2025-10-25,68chat-prod,chat-prod-404613,731808937699,,,,3089.262662,0,-371.699894,-334.181653,2383.381115
2025-10-25,ffalcon-HW-01,ffalcon-hw-01,643550418219,,,,2636.930108,-246.488585,-649.648731,-101.485905,1639.306887
2025-10-25,kade,kade-poc,499036589398,,,,3.392995,0,0,-0.518046,2.874949
2025-10-25,lagofast-gcp,lagofast-gcp-429609,369988410061,,,,234.022864,0,0,-31.821473,202.201391
2025-10-25,sw-pro-01,sw-pro-01,661100906716,,,,5834.632329,-0.000049,-792.96855,-5041.663778,-0.000048
2025-10-25,tools-orion,tools-orion,131225299543,,,,3100.089141,-378.553556,0,-326.584404,2394.951181
2025-10-25,US-INST-02,us-inst-02,504675810214,,,,51.001926,-7.843326,-1.62244,-3.061747,38.474413
2025-10-24,bambulab,bambulab,322168702712,,,,2551.645474,-48.767127,-720,-93.81861,1689.059737
2025-10-24,68chat-prod,chat-prod-404613,731808937699,,,,3095.35851,0,-371.699803,-334.899557,2388.75915
2025-10-24,ffalcon-HW-01,ffalcon-hw-01,643550418219,,,,2647.555525,-247.552312,-649.634986,-101.89549,1648.472737
2025-10-24,kade,kade-poc,499036589398,,,,3.426569,0,0,-0.522071,2.904498
2025-10-24,lagofast-gcp,lagofast-gcp-429609,369988410061,,,,210.549662,0,0,-29.004343,181.545319
2025-10-24,sw-pro-01,sw-pro-01,661100906716,,,,6371.011891,-0.000049,-793.979785,-5577.032086,-0.000029
2025-10-24,tools-orion,tools-orion,131225299543,,,,2570.784307,-314.915345,0,-270.704189,1985.164773
2025-10-24,US-INST-02,us-inst-02,504675810214,,,,50.958874,-7.839002,-1.6239,-3.059777,38.436195
2025-10-23,bambulab,bambulab,322168702712,,,,3055.234985,-88.062842,-720,-117.007448,2130.164695
2025-10-23,68chat-prod,chat-prod-404613,731808937699,,,,3122.822822,0,-371.699784,-338.211664,2412.911374
2025-10-23,ffalcon-HW-01,ffalcon-hw-01,643550418219,,,,2582.436795,-241.040281,-649.628156,-98.937202,1592.831156
2025-10-23,kade,kade-poc,499036589398,,,,3.887981,0,0,-0.593281,3.2947
2025-10-23,lagofast-gcp,lagofast-gcp-429609,369988410061,,,,216.10475,0,0,-29.670637,186.434113
2025-10-23,sw-pro-01,sw-pro-01,661100906716,,,,6286.426999,-0.000053,-798.418418,-5488.008557,-0.000029
2025-10-23,tools-orion,tools-orion,131225299543,,,,2576.934348,-315.704204,0,-271.347609,1989.882535
2025-10-23,US-INST-02,us-inst-02,504675810214,,,,50.93842,-7.836674,-1.635995,-3.058265,38.407486
2025-10-22,bambulab,bambulab,322168702712,,,,2748.686513,-64.076784,-720,-102.685118,1861.924611
2025-10-22,68chat-prod,chat-prod-404613,731808937699,,,,3117.382658,0,-371.699846,-337.540375,2408.142437
2025-10-22,ffalcon-HW-01,ffalcon-hw-01,643550418219,,,,2592.849173,-242.076469,-649.731674,-99.518835,1601.522195
2025-10-22,kade,kade-poc,499036589398,,,,3.779962,0,0,-0.580361,3.199601
2025-10-22,lagofast-gcp,lagofast-gcp-429609,369988410061,,,,206.721132,0,0,-28.544984,178.176148
2025-10-22,sw-pro-01,sw-pro-01,661100906716,,,,6317.245254,-0.000056,-801.435986,-5515.809225,-0.000013
2025-10-22,tools-orion,tools-orion,131225299543,,,,2019.152337,-247.222146,0,-212.631562,1559.298629
2025-10-22,US-INST-02,us-inst-02,504675810214,,,,50.898139,-7.833194,-1.614298,-3.057518,38.393129
2025-10-21,bambulab,bambulab,322168702712,,,,2709.742785,-61.038553,-720,-100.866063,1827.838169
2025-10-21,68chat-prod,chat-prod-404613,731808937699,,,,3119.791653,0,-371.69977,-337.826638,2410.265245
2025-10-21,ffalcon-HW-01,ffalcon-hw-01,643550418219,,,,2577.805378,-240.583009,-649.499413,-98.7016,1589.021356
